Y,K,L
45286.62776,30758892.53,33.02544276
3904.346242,88796.77282,1.919377113
765180.5164,123852412.9,34.201332
155641.1413,19924029.01,15.69172435
212532.1317,33802116.4,14.08063348
53607.58712,6381535.334,7.401876342
72657.25681,1291208.063,19.68283875
747693.8958,49298157.47,401.7008266
3836330.565,496656169.8,1896.860996
240896.1156,33438750.03,11.20000105
1444995.433,157808995.4,74.54843326
26428.39578,5418101.697,0.757952762
243770.3557,48897517.42,8.450092614
5734099.529,1116381922,215.4847099
115711.9694,19668402.16,7.001837453
37973.25019,4468445.285,2.480687649
8598497.515,1255924142,481.6592952
101511.0865,11271640.09,41.44123073
589336.3258,45336391.05,87.54000232
97895.49376,23981968.6,42.91844159
4896.870882,150516.4904,4.171653063
64829.21389,15996867.49,1.326995495
170208.2041,26619355.01,40.80335876
2476665.194,337061830.2,114.8013056
21834.64903,1372656.773,14.08001191
31829.48952,917968.3179,42.45731283
12125.02628,1620303.594,5.086184585
17819.26267,4870092.97,2.457378774
16338.33719,4476316.172,19.16023689
170794.1855,18662665.19,31.33438595
21394.39013,2429425.747,2.320770015
38408.30518,2162685.652,15.2262775
62574.62774,8936028.159,5.196538739
1887975.462,293478577,46.30869643
559184.5283,130713520.9,14.96061538
71200.15338,1823638.056,45.14929655
420377.1068,57720435.12,9.930309403
558790.7389,85696708.58,167.0621685
36747.25211,4551970.777,4.35911363
529114.2076,158119282.4,36.75642158
493789.2499,65698761.48,120.7073887
23354.91229,1015272.128,8.568374247
490517.0737,75014610.6,34.90619371
42180.47216,3570258.984,8.168837187
435905.7983,47264807.51,101.4538965
23902.28883,581674.4402,15.53536654
50522.75201,2000874.544,16.58988395
88603.05818,17199197.52,6.417487528
22054.06959,725887.8481,10.81391424
118645.6421,10246237.73,9.671612448
1268667.302,202117992,37.41928875
106351.8278,5878653.362,12.83728386
17408.26697,1537940.067,6.566875146
376619.6921,59839908.61,153.1327846
71851.38463,11776034.97,3.162530227
88452.15221,22336200.38,12.01701305
1165761.623,88828915.06,145.4701813
318755.2833,21900281.47,44.91951439
66165.38017,3230536.393,61.34141663
61361.88203,4899896.931,39.3468107
120819.2083,20470963.89,11.59050514
35657017.16,4397535190,764.0100826
726802.8302,155486137.6,26.09508727
920520.5506,144399628.9,64.16695841
75522.11805,7467966.22,13.55998761
12555.22398,2109138.164,18.7934499
53171.41191,2072252.965,9.769512518
1871603.994,353370067.8,89.2051923
2299924.715,427733333.3,56.25905443
1183623.529,208283043.3,30.13034911
12377.62141,484378.1455,17.10465312
1532115.549,320880689.5,37.62071861
23256.64367,3688068.629,9.256756074
534849.6592,38491903.04,288.1487338
232410.9953,5805888.908,45.2051251
48993.01087,1169287.913,0.589642667
5247.076722,145882.3901,0.323803137
120692.5059,17515286.11,15.49018986
3826219.506,630730698.5,318.0597984
34062.80142,6581177.013,0.919504824
75436.63069,131486.3879,0.398595242
6574.585838,1048641.248,2.028078302
18931.5468,1551012.844,8.89250645
3907705.073,538735644.8,86.56542276
1627155.713,362162664.2,31.86392853
426304.8561,97830876.03,28.69147862
3609106.524,681848042.1,3940.759958
79813.70635,6630267.416,21.16273067
87665.99176,8001785.84,27.39757006
15707.45388,2731365.355,5.029083911
656712.6353,105302113.2,67.17051655
112563.9624,11221106.45,5.537988167
472989.666,2333202.185,26.14233537
36861.10766,11271636.99,2.535573213
876831.3432,139447932.3,23.80000152
560808.3247,88795523.89,33.35329633
187499.3407,58318296.84,19.22270285
447894.5316,48542559.2,89.61757068
4058561.102,703480355.4,130.5573755
640714.385,144564749.4,21.97146255
12963.87347,2133556.988,1.574831483
8138784.284,1393146104,218.5047184
46104.37586,6338790.821,2.439804774
8806021.741,1166482980,253.0799817
82518.70176,35467332.9,35.62385954
4264.197357,204527.3801,2.209525346
1081220.847,211479999.6,32.69927607
213103.7385,27919857.83,17.52052716
14431.16439,638297.9944,1.992983144
278409.7956,56810005.39,16.09537573
65044.38611,9944813.995,8.602062281
75505.52763,2152717.866,21.03712671
753317.6245,12415719.74,53.55112018
1050681.514,91966865.01,438.0886467
4908744.686,694960255.5,2081.974995
301372.3072,49972013.18,11.18037749
2583899.687,298242732.9,83.67510969
28878.25057,7591527.054,0.824400549
360524.8234,68670131.45,9.63262454
7712286.265,1541643317,212.3829066
145835.0916,30568621.44,7.41853306
41281.00039,8220138.93,3.465751944
14905504.59,2603681283,518.4050256
115530.541,16338181.51,47.6146396
80982.62867,673090.0601,33.82717903
973316.69,108502824.1,100.6200019
17997.65876,104692.0511,12.95141137
26252.45873,314809.476,5.382841464
141781.1231,34516524.93,47.98919512
5826.271614,339430.7896,4.590061296
77297.29014,18673607.05,1.399417
19411.0326,441117.9307,0.772435534
234975.6414,37589950.81,43.90628954
837.6952092,28692.83428,0.346455319
3348708.611,526439385.4,133.1293997
26268.07785,2771571.482,15.50043885
14375.90325,839850.8719,1.099747977
18118.80437,909787.9303,4.328728733
